NAME,GENUS,SPECIES,VARIETAL,LAYER,COLD,HOT,DRY,WET,SUN,LIFESPAN,SEASONALITY,LEAVES,PROPAGATION,WIND,PH,N,P,K,DRAINAGE,PRODUCT,CSV FIX
Saguaro,Carnegeia,gigantea,,supercanopy,8a,HOT,very xeric,tolerant,full sun at maturity,perennial,subtropical desert,none,seeds,resistant,Alkaline-tolerant,,,,sandy soil,fruit,X
She oak,Casaurina,cunninghamiana,,supercanopy,8a,hot,xeric,tolerant,full sun,perennial,temperate desert,evergreen,seeds,resistant,Alkaline-tolerant,fixer,fixer,,sandy soil,seed,X
Paloverde,Parkinsonia,,,supercanopy,8a,hot,very xeric,,full sun,perennial,subtropical desert,Summer-deciduous,seeds,resistant,Alkaline-tolerant,fixer,,,sandy soil,seed,X
Pinyon,Pinus,cembroides,,supercanopy,5,hot,very xeric,tolerant,full sun,perennial,temperate desert,evergreen,seeds,resistant,Alkaline-tolerant,,,,sandy soil,seed,X
California fan palm,Washingtonia,filifera,,supercanopy,8a,hot,very xeric,,full sun,perennial,temperate desert,evergreen,seeds,resistant,Alkaline-tolerant,,fixer,,sandy soil,seed,X
Joshua,Yucca,brevifolia,,supercanopy,7,hot,very xeric,,full sun,perennial,temperate desert,evergreen,seeds,resistant,Alkaline-tolerant,,,,sandy soil,seed,X
Fig,Ficus,carica,,canopy,5-8,hot,xeric,tolerant,full sun,perennial,mediterranean,deciduous,cuttings- spliced,,,,,,sandy soil,fruit,X
Mulberry,Morus,nigra,black mulberry,canopy,4,hot,xeric,tolerant,full sun,perennial,temperate mediterranean,,seeds- cuttings,,Alkaline-tolerant,,,,,fruit,X
Olive,Olacea,europea,,canopy,6,hot,very xeric,tolerant,full sun,long perennial,mediterranean,,seeds- cuttings,resistant,Alkaline-tolerant,,,,,fruit,X
Mesquite,Prosopis,glandulosa,honey mesquite,canopy,6,hot,very xeric,tolerant,full sun,perennial,deserts,,seeds,resistant,Alkaline-tolerant,fixer,,,sandy soil,seed,X
jujube,Ziziphus,jujuba,,canopy,6,hot,xeric,tolerant,full sun,perennial,mediterranean,deciduous,cuttings- spliced,,Alkaline-tolerant,fixer,,,sandy soil,fruit,X
Century plant,Agave,americana,,bush,8a,hot,very xeric,tolerant,full sun,perennial,deserts,evergreen,suckers,resistant,Alkaline-tolerant,,,,sandy soil,stalk- juice,X
Vanilla acacia,Acacia,redolens,,bush,8a,hot,xeric,,full sun,perennial,deserts,evergreen,,resistant,Alkaline-tolerant,fixer,,,,,X
Prickly pear,Opuntia,Ficus-indica,commercial,bush,8a,hot,xeric,tolerant,full sun,perennial,deserts,evergreen,cuttings- seeds,resistant,Alkaline-tolerant,,,,sandy soil,greens- seeds- fruit,X
desert cassia,Senna,Polyphylla,,bush,8a,hot,xeric,tolerant,full sun,perennial,deserts,evergreen,seeds,resistant,Alkaline-tolerant,fixer,,,,,X
Spanish broom,Sparteum,junceum,,bush,7,hot,xeric,tolerant,full sun,perennial,mediterranean,few,seeds- suckers,resistant,Alkaline-tolerant,fixer,,,sandy soil,forage,X
Grape european,Vitus,europea,,vine,6,hot,xeric,tolerant,,perennial,mediterranean,deciduous,seeds- suckers- cuttings,delicate,Alkaline-tolerant,,,,,fruit,X
Grape american,Vitus,girdiana,desert,vine,6,hot,xeric,tolerant,full sun,perennial,deserts,deciduous,seeds- suckers- cuttings,delicate,Alkaline-tolerant,,,,,fruit,X
Squash,Cucurbit,maxima,,vine,,moderate hot,moderate,tolerant,light shade,annual,summer,deciduous,seeds,delicate,Alkaline-tolerant,,,,,fruit- seeds,X
Ice plant,Carpobrotus,edulis,,cover,9,hot,xeric,tolerant,full sun,perennial,mediterranean,evergreen,rooted cuttings,resistant,Alkaline-tolerant,,,,sandy soil,,X
Sedum,Petrosedum,,desert hills,cover,7,hot,xeric,tolerant,full sun,perennial,montane desert,evergreen,cuttings- seeds,resistant,Alkaline-tolerant,,,,sandy soil,,X
Rosemary,Rosmarinus,officinalis,,cover- low bush,7,hot,xeric,tolerant,full sun,perennial,mediterranean,evergreen,rooted cuttings,resistant,Alkaline-tolerant,,,,sandy soil,herb,X
Arugula- rocket,Eruca,sativa,,cover,2-12,cool,moderate,tolerant,shade,annual- reseeds,mediterranean,annual,seeds,delicate,Alkaline-tolerant,,,,,greens,X
Strawberry cactus,Echinocereus,triglochidiatus,,cover,7,hot,xeric,tolerant,full sun,perennial,deserts,evergreen,cuttings- seeds,resistant,Alkaline-tolerant,fixer,,,sandy soil,fruit,X